Date,Real_GDP_Crore,GVA_Agriculture,GVA_Construction,GVA_Utilities,GVA_Finance_RealEstate,GVA_Manufacturing,GVA_Mining,GVA_PublicAdmin,GVA_Trade_Transport,CPI,IIP_General,WPI_All_Commodities,USD_INR_Rate,Repo_Rate,GSec_10Y_Yield,Non_Food_Credit,Nifty50_Price,Forex_Reserves_INR_Crore,Inflation_Rate_Monthly_RBI,Gross_Bank_Credit,Credit_to_Industry,Credit_to_Services,Personal_Loans,GST_Collection,Urban_Youth_Unemployment_Rate,Female_Labor_Force_Participation,Gross_Fiscal_Deficit_Percent_GDP,Gross_Fixed_Capital_Formation_Percent_GDP,Power_Consumption_KWh,Infant_Mortality_Rate,Life_Expectancy_Years,Gini_Index,HDI_Score,Expected_Years_Schooling,GNI_Per_Capita_PPP
2020-01-01,1275559.5466666666,197885.8411140572,88900.13131920678,23796.450011679914,206713.72792340038,186344.73002739626,27574.19129089351,150091.6944781909,228235.27945566946,153.5,137.4,123.4,71.5096,5.15,6.8612,9867590.414903644,11962.099609375,24059939.04384,7.59,10105176.35551,2869245.82,2531566.92,2685467.94,110817.2956395,19.847252747252742,25.998,6.986460655737705,27.3243213738562,901.399579163301,28.2,70.156,26.123622047244094,0.652,12.1291399,7331.951385
2020-02-01,1151290.144175824,187777.26791025966,91472.31796714202,24067.4981814739,207931.38565125898,191306.2189408999,29776.928504852167,150469.6919927746,236020.18203235988,150.5,134.2,122.2,72.1895,5.15,6.6529,10026724.439453105,11201.75,25190908.925028004,6.58,10104866.31986,2871313.05,2535867.81,2706185.59,105365.90761279996,20.494505494505496,26.1441912568306,7.106657650273224,27.51520964544573,906.6479244370488,28.08142076502732,69.9125737704918,26.097637795275592,0.6515765027322404,12.152282378278688,7387.922795603826
2020-03-01,1035038.1224908425,178320.86071961035,93878.55708940401,24321.059372571504,209070.4848160299,195947.6117954678,31837.55364049091,150823.30257093356,243302.83282990902,148.9,117.2,120.4,75.3859,5.15,6.71,10048296.61964258,8597.75,27136117.500819005,5.84,10370860.68312,2946851.25,2672047.27,2726863.88,97590.7515687,21.1,26.28095081967213,7.2191,27.693782544674644,911.5576667899094,27.970491803278687,69.6848524590164,26.071653543307086,0.6511803278688525,12.173931793442623,7440.283147459017
2020-04-01,910768.7200000001,170856.04887007744,78393.80274142757,23708.995222158064,227191.24064028822,174553.6883835766,28665.405775025723,138283.6783458577,198829.87388005244,154.0,54.0,119.2,75.115,4.4,6.55,10315819.234904,9859.900390625,27119867.407644004,7.22,10273415.78664,2928353.27,2654269.16,2678182.04,32172.3364071,22.582608695652176,26.427142076502733,7.718573698630137,27.884670816264173,916.806012063657,27.85191256830601,69.4414262295082,26.045669291338584,0.6507568306010929,12.197074271721313,7496.254558062842
2020-05-01,977840.1760439561,163632.03740278757,63408.55659822455,23116.675076596675,244727.4559540866,153849.89153335933,25595.58526005942,126148.5581280424,155791.52650922348,152.7,90.2,117.5,75.6369,4.4,5.7889,10218274.44974516,9580.2998046875,28211673.419089995,6.27,10222753.1829,2904685.07,2607610.22,2642260.17,62150.93130510001,24.017391304347825,26.5686174863388,8.201935342465754,28.069401401673392,921.8850558769612,27.73715846994536,69.2058524590164,26.019685039370078,0.6503469945355191,12.219470218442623,7550.42043929235
2020-06-01,1047147.3472893774,156167.22555325468,47923.80225024811,22504.610926183235,262848.2117783449,132455.96812146812,22423.43739459423,113608.93390296654,111318.56755936689,154.0,107.9,119.3,75.527,4.0,5.9,10143771.994141,10302.099609375,28845475.96704,6.23,10245677.47013,2911362.69,2617905.38,2655681.33,90917.7978725,25.5,26.7148087431694,8.701409041095891,28.26028967326292,927.1334011507088,27.61857923497268,68.9624262295082,25.993700787401576,0.6499234972677596,12.242612696721311,7606.391849896175
2020-07-01,1114218.8033333335,148744.238871705,56924.31969097761,23275.482166350368,265483.64894250047,156002.9024957888,21480.612560855818,118267.45188177179,131313.38291828567,157.0,117.9,121.0,74.7722,4.0,5.7833,10157884.63844774,11073.4501953125,29958747.70518,6.73,10282056.88798,2868970.47,2624302.29,2701387.01,87421.67312089998,26.217391304347824,26.856284153005465,9.184770684931507,28.44502025867214,932.2124449640132,27.503825136612026,68.7268524590164,25.96771653543307,0.6495136612021858,12.265008643442624,7660.557731125683
2020-08-01,1150686.654094203,141073.81930077032,66224.85437973143,24072.049114523074,268206.9340121279,180334.73468258677,20506.360232659463,123081.25379320387,151974.69212250173,158.0,117.2,122.0,73.5951,4.0,6.12,10201074.13573645,11387.5,29273552.14221,6.69,10216158.03843,2825014.64,2642567.86,2706439.9,86449.5074744,26.958695652173912,27.002475409836062,9.684244383561644,28.63590853026167,937.4607902377608,27.385245901639344,68.4834262295082,25.941732283464567,0.6490901639344262,12.288151121721311,7716.529141729508
2020-09-01,1187154.5048550726,133403.39972983566,75525.38906848525,24868.616062695775,270930.2190817553,204666.5668693848,19532.107904463104,127895.05570463598,172636.00132671781,161.4,124.1,122.9,73.7978,4.0,6.04,10152047.821413334,11247.5498046875,29562235.71744,7.27,10271581.00793,2831679.89,2653792.91,2735273.4,95479.98891469998,27.7,27.148666666666667,10.18371808219178,28.8267968018512,942.7091355115084,27.266666666666666,68.24,25.91574803149606,0.6486666666666667,12.3112936,7772.500552333334
2020-10-01,1222445.9733333334,161172.95100856244,82369.24151140485,24492.552451235908,255790.46852511572,204738.17326549697,21056.534872576405,132650.08567104136,181308.52934768875,164.7,129.6,123.6,73.9732,4.0,5.9119,10207317.21308742,11642.400390625,30949540.438396,7.61,10338867.87781,2803794.83,2639010.63,2785396.81,105155.4510563,26.77692307692308,27.29014207650273,10.667079726027398,29.011527387260426,947.7881793248124,27.15191256830601,68.0044262295082,25.88976377952756,0.648256830601093,12.333689546721311,7826.666433562842
